Minuto,0,1,mean [kWh],std [kWh]
610,"4419,0","6126,0","5272,5","853,5"
611,"4191,0","6621,0","5406,0","1215,0"
612,"4317,0","5670,0","4993,5","676,5"
613,"4320,0","6051,0","5185,5","865,5"
614,"4566,0","6060,0","5313,0","747,0"
615,"5163,0","6081,0","5622,0","459,0"
616,"6003,0","5235,0","5619,0","384,0"
617,"6378,0","5598,0","5988,0","390,0"
618,"6027,0","5118,0","5572,5","454,5"
619,"6630,0","5004,0","5817,0","813,0"
620,"6882,0","4644,0","5763,0","1119,0"
621,"6657,0","4413,0","5535,0","1122,0"
622,"5943,0","4662,0","5302,5","640,5"
623,"5226,0","5019,0","5122,5","103,5"
624,"5475,0","4908,0","5191,5","283,5"
625,"5709,0","4437,0","5073,0","636,0"
626,"5712,0","4323,0","5017,5","694,5"
627,"4869,0","4815,0","4842,0","27,0"
628,"4758,0","5175,0","4966,5","208,5"
629,"5844,0","4470,0","5157,0","687,0"
630,"6315,0","4482,0","5398,5","916,5"
631,"7056,0","4482,0","5769,0","1287,0"
632,"6705,0","4731,0","5718,0","987,0"
633,"6708,0","4731,0","5719,5","988,5"
634,"6489,0","4248,0","5368,5","1120,5"
635,"6261,0","4380,0","5320,5","940,5"
636,"6393,0","4737,0","5565,0","828,0"
637,"6636,0","4632,0","5634,0","1002,0"
638,"6156,0","4527,0","5341,5","814,5"
639,"5799,0","4662,0","5230,5","568,5"
640,"5322,0","5160,0","5241,0","81,0"
641,"4725,0","5769,0","5247,0","522,0"
642,"5100,0","5772,0","5436,0","336,0"
643,"5469,0","6141,0","5805,0","336,0"
