,t_fcs_ida,E_fcs_ida,delta_rec_ida,carga_ida,t_fcs_vuelta,E_fcs_vuelta,delta_rec_vuelta,carga_vuelta,t_llegada_casa,E_casa,delta_home,Pot_dom
268,1045.0,21.820241338867636,0.0,120,0.0,0.0,0.0,0,1415.0,0,0,0
269,0.0,0.0,0.0,0,1522.0,16.83661509975212,8.0,120,1538.0,0,0,0
270,0.0,0.0,0.0,0,0.0,0.0,0.0,0,1462.0,0,0,0
271,0.0,0.0,0.0,0,0.0,0.0,0.0,0,1277.0,0,0,0
272,0.0,0.0,0.0,0,0.0,0.0,0.0,0,1073.0,0,0,0
273,0.0,0.0,0.0,0,0.0,0.0,0.0,0,1320.0,0,0,0
274,0.0,0.0,0.0,0,0.0,0.0,0.0,0,1051.0,0,0,0
275,0.0,0.0,0.0,0,1217.0,21.24657589196785,11.0,120,1255.0,0,0,0
276,0.0,0.0,0.0,0,0.0,0.0,0.0,0,970.0,0,0,0
277,0.0,0.0,0.0,0,1337.0,19.344116188060923,10.0,120,1376.0,0,0,0
278,0.0,0.0,0.0,0,0.0,0.0,0.0,0,936.0,0,0,0
279,0.0,0.0,0.0,0,0.0,0.0,0.0,0,1645.0,0,0,0
280,0.0,0.0,0.0,0,0.0,0.0,0.0,0,829.0,0,0,0
281,0.0,0.0,0.0,0,915.0,20.084488010097772,10.0,120,956.0,0,0,0
282,0.0,0.0,0.0,0,0.0,0.0,0.0,0,883.0,0,0,0
283,0.0,0.0,0.0,0,0.0,0.0,0.0,0,1153.0,0,0,0
284,0.0,0.0,0.0,0,0.0,0.0,0.0,0,1050.0,0,0,0
285,0.0,0.0,0.0,0,1080.0,18.08810498448318,9.0,120,1110.0,0,0,0
286,938.0,19.27524395979445,0.0,120,0.0,0.0,0.0,0,1231.0,0,0,0
287,0.0,0.0,0.0,0,0.0,0.0,0.0,0,1468.0,0,0,0
288,0.0,0.0,0.0,0,0.0,0.0,0.0,0,1411.0,0,0,0
289,0.0,0.0,0.0,0,0.0,0.0,0.0,0,921.0,0,0,0
290,0.0,0.0,0.0,0,833.0,16.967110855992175,8.0,120,848.0,0,0,0
291,0.0,0.0,0.0,0,0.0,0.0,0.0,0,1139.0,0,0,0
292,0.0,0.0,0.0,0,0.0,0.0,0.0,0,1182.0,0,0,0
293,0.0,0.0,0.0,0,0.0,0.0,0.0,0,1189.0,0,0,0
294,0.0,0.0,0.0,0,1138.0,19.31634808219359,10.0,120,1174.0,0,0,0
295,0.0,0.0,0.0,0,0.0,0.0,0.0,0,1444.0,0,0,0
296,0.0,0.0,0.0,0,1108.0,20.548885105509488,10.0,120,1137.0,0,0,0
297,0.0,0.0,0.0,0,994.0,19.57514690643235,10.0,120,1012.0,0,0,0
298,0.0,0.0,0.0,0,0.0,0.0,0.0,0,1178.0,0,0,0
299,0.0,0.0,0.0,0,0.0,0.0,0.0,0,798.0,0,0,0
300,0.0,0.0,0.0,0,0.0,0.0,0.0,0,1202.0,0,0,0
301,0.0,0.0,0.0,0,0.0,0.0,0.0,0,1157.0,0,0,0
302,0.0,0.0,0.0,0,1130.0,16.403028211938665,0.0,120,1148.0,0,0,0
303,0.0,0.0,0.0,0,0.0,0.0,0.0,0,932.0,0,0,0
304,0.0,0.0,0.0,0,0.0,0.0,0.0,0,1027.0,0,0,0
305,0.0,0.0,0.0,0,0.0,0.0,0.0,0,978.0,0,0,0
306,0.0,0.0,0.0,0,0.0,0.0,0.0,0,1204.0,0,0,0
307,0.0,0.0,0.0,0,1323.0,20.235917176583555,10.0,120,1373.0,0,0,0
308,720.0,20.26934954508523,0.0,120,0.0,0.0,0.0,0,1041.0,0,0,0
309,0.0,0.0,0.0,0,1465.0,17.71540253041264,0.0,120,1490.0,0,0,0
310,0.0,0.0,0.0,0,0.0,0.0,0.0,0,1123.0,0,0,0
311,0.0,0.0,0.0,0,0.0,0.0,0.0,0,1083.0,0,0,0
